KEYWORD,SCORE
keyskills fixed assets inter company reconciliation bank reconciliation intra company reconciliation general accounting balance sheet trial balance brs month end reporting month end closure journal entries record,246.02581832735746
general accounting finance budgeting financial analysis financial planning financial reporting forecasting financial statements receivable management fpnafp amonth end closing r2 rrecord,179.6103682540447
central excise act rules framed thereunder customs act rules thereunder cenvat credit rules service tax statute provisions pertaining,176.23856771082797
transportation service providers receiving document distribution center store delivery document carrier contract super valu call log thermo king data,160.2387201869694
audit alert customer complaint income expense voucher verification locker operation dp operation branch hygiene operation security,152.99105370819657
keyskills general accounting accounting general ledger account payable account receivable gl journal entry journal balance sheet pn,111.37788887593535
drawing budgets analysing process costing evaluating gross margin profitability inventory variance analysis,100.39083151779231
view receipts reports epom accounts payable lawson system open image rockport rts,97.64952904238619
accounting accounts payable general ledger finance receivable purchase order financial reporting operations claims collection claims research,94.6487787979663
accounting taxation funding banker liasoning budgetary control audit personality attributes team leader articulate communication,91.80780692336549
bank charge interest fixed asset register schedule vi balance sheet cash flow accounting standard,91.39965317526108
industry electricals switchgears functional area accounts finance tax company secretary audit role category finance audit,89.11800302401268
finance financial accounting budget planning annual budgeting budgeting revenue accounting revenue forecasting revenue analysispricingpreparation,86.46692707096642
sales marketing receipt life insurance accounting profitability communication skills problem resolution bill processing transport management,82.23361310606485
desired characteristics chartered accountant cpa preferred good presentation communication skill strong analytical skill independent thinking,79.57232585249399
chemistry biology pharmaceutical bioinformatics engineering high tech oil gas discipline,77.65126050420167
distribution centers accounts payable transportation service providers stores super valu,68.5764459850926
customer focused service oriented enthusiastic solutions oriented pro actively manages relationship,68.51031637535397
recapping actual result versus plan preparing monthly variance report forbusiness owner,67.4279411764706
cenvat accounting indirect tax compliances including vat service tax stpi,61.93973239914657
unscheduled purchase order issue resolve distribution center receiving problem,61.701478494623665
tackle portfolio fraud minimizing loss rate congregate market intelligence,60.52222222222222
analysis general accounting financial reporting month end closing accounts payable,60.12577510373497
general accounting balance sheet bank reconciliation banking closing communication skills,59.94441128649037
receive market competitive package including competitive pay health accidental,59.91428571428572
functional area ites bpo kpo lpo customer service operations,59.66081399621772
statutory compliance sales tax vat excise service tax tds tax audit,59.222244047709076
general ledger accounting balance sheet intercompany commerce gl accounting r2r record,59.0749679904695
ansaldo sts permanent establishment branch joint venture hellip,59.04545454545455
job description good communication skills good ms excel skills basic accounting knowledge conversant,58.87101435091105
agri loan product drive fraud containment framework rule based system hunter,58.42635046113306
accounts payable accounts receivable budgeting forecastingfinancial planningfinancial reportingaccounts,58.26700680272109
meet sm productivity norm set basis grade band targets,56.68333333333334
rep vendors accounts payable business units asset protection marketing,56.589672232529374
ebs finance technical tf ap ar gl fa cm,56.404761904761905
gaap financial statement analysis financial statementfund adminfund administrationfund administrator,56.339157058172106
science direct journals backfiles ebooks mendeley production hosting,55.56666666666666
accounts payable issues monthly visit conference call training session,55.30850340136054
assigned country reconcile assigned balance sheet account resolve outstanding open item,55.19462412520997
ebs finance functional ap ar gl fa cm,54.11231884057971
include general ledger account payable account receivable fixed asset,53.30442581328658
implement general accounting system conduct account reconciliation periodically ledger close activity,53.30258433190833
instrument financial product equity fixed income derivative forex,53.28786091450399
balance sheet month end closing activity bank reconcillation,53.12213102632357
functional area accounts finance tax company secretary audit,52.15848737708305
branch including tracking key metric complaint tat wait times,50.57974025974026
excise rules modvat cenvat credit rules,50.541666666666664
general accounting taxationtds accounts receivable accounts payable tally,49.94923831234622
financial item inter intra company asset payroll,49.12753331939378
indirect tax laws appeals tax restructuring tax advisory,47.62410306588389
prime brokerage etfo derivatives fx repo slb,47.5
required minimum qualifications minimum graduate degree required ca icwa law mba finance,46.536767574698615
writing narrative providing balance sheet review analysis support qtr,44.85034013605442
distribution centers stores super valu target,44.21666666666667
month end activity jv posting financial system report review,43.72577471993698
preparing analysis report journal account reconciliation ad hoc report,43.72065276743608
financial reporting reconcile trclm carrier claims focus database,43.23690771321287
general ledger general accounting balance sheet reconciliation,42.47554783615574
people development responsibility includes 1x1 idp discussion input write,41.81074481074481
journal entry including accrued expense prepaid expense,41.77582417582418
functional area financial services banking investments insurance,41.221562840597215
role category finance audit role finance budgeting manager,40.8302286166992
framework including coso ifrs iia cobit pipeda,40.48701298701299
basic office tool outlook ms word power point,40.43217418546366
leading mnc chennai financial reporting investment banking sr analyst,40.29715550000528
provision bank inter entity branch reconciliation write offs,40.102487512487514
expenditure maintaining ageing report ensuring monthly statutory payment timely,39.96758466172984
fraud prevention alert management system concurrent assessment,39.65330225330225
cash transaction closed dormant suspense account credit,39.63849590469099
month end accounting journals preparation review account reconciliation,39.5195203276167
job role financial accounting including gl review finalization entry,39.51023285228105
reconciling balance sheet account monitor revenue reconcile receivables,39.34369377331212
essential ar ra experience ba bs degree preferred,39.31143173373389
data management order management governance security data quality,39.21438523162661
dedicated bnpp access administration tool sail point,38.18750000000001
financial market stock accounting financial research financial services,38.145604861079875
role category corporate sales role client servicing key account manager,38.11647637737734
agency deposits rent deposit security deposit,38.0
keyskills financial management mis budget profit loss auditing tax,37.98486888517383
analyze vendor shortage issue research ad hoc project request,37.79691500256016
focus database enter super target exception claim,37.13194444444444
maximum psl booking direct sourcing good quality sourcing,37.11990049751244
role involves budgeting forecasting financial analysis preparation,36.864443141597725
ar report preprae ar gl recons,36.352941176470594
inter company transaction inter company reconciliation,36.01720318896789
production month end close mec reporting pack,36.001351019405554
financial analysis competitive assessment trend analysis market dynamic,35.9327437951925
ebs scm technical tf om inventory purchasing,35.73809523809524
finance accounts general ledger reconciliation bpo,35.26397959183674
prepare monthly financial report including consolidated financial statement,35.254749962000304
receivables payable budgeting vendor payment forecasting,35.078957528957524
central project team ba side 1 spoc defined,35.02834846313107
income tax tds issuing tds certificate compliance,34.77650477376505
freight payment including fmcs pacman lawson epom,34.65990990990991
keyskills financial reporting variance analysis budgeting taxation,34.38052513094019
ms office ms word ms excel tally 9 0,34.36028773857721
end fixed assets accounting,34.19790611279973
specific financial control area including treasury accounting,34.14379183142827
sr manager manager statutory audit due diligence,33.77205456823879
intercompany operations cash application reconciliation reporting commerce,33.73240284197911
industry chemicals petro chemical plastic rubber,33.66981132075472
industry automobile auto anciliary auto components,33.66981132075472
skills required tally quickbooks ms excel good oral,33.65927743194751
arts pgdca dca jaiib caiib preferable,33.5
complete statutory compliance tds service tax vat,33.49963077057525
functional area hr recruitment administration ir,33.35911371237458
finance statistics economics sciences engineering mathematics,33.35714285714286
pt central excise customs roc ca,33.30641025641026
tally latest version balance sheet dealing,32.78784013605442
manager senior manager risk containment unit hunter,32.51341758599823
monthly quarterly financial information balance sheet profit,32.37824759111646
transportation operations marketing distribution centers,32.32602339181287
vat tds service tax income tax,32.17119136571191
multidisciplinary engagement helping major global client transform,32.113247863247864
accounts payable business units determine final decision,31.986641929499072
microsoft office excel word power point,31.97040678619626
financial process including accounting cycle expense cycle,31.842983616404368
centrally managing branch service related activity including,31.643539793539798
budget financialreporting financial data analysis auditing taxation,31.56650708978236
factor based sensitivity based historical simulation,31.5
income tax act companies act fema,31.49771689497717
sr manager manager internal audit manufacturing service,31.327121212121213
company account including tax audit li,31.30093268762334
business object xi r2 deski,31.285714285714285
front end process create product specific work flow,31.219328655777932
larger operation good problem solving administrative,31.19490049751244
reviewing reconciliation statement bank debtors creditors,31.19238095238095
metric suggest trend resulting implication key action,31.153333333333336
industry travel hotels restaurants airlines railways,31.00314465408805
documentation rule analyze financial statement annual report,30.784004299394176
budget profit loss management auditing tax returns,30.72548496024523
statutory external reporting including supplementary data pack,30.604720011601188
functional area sales retail business development,30.431929785190654
sending monthly service tax related bill,30.39620174346202
people management skill strong communication skill analytical skill,30.175943832737314
resolve shortage issue research edi transmittal error,29.95028801843318
related impairments thereon country wise split,29.81923076923077
role category operations processes finance legal,29.785815437286026
maintain daily departmental paper flow coordinate receipt,29.704242424242423
role category accounts role accounts executive accountant,29.62826324503436
hospitality tourism management minimum 2 year work experience,29.54020048132617
role head vp gm finance audit,29.40931216931217
job title designation team member tariff reporting,29.272844971677532
oracle database oracle 11i r12 erp,29.225
scm functional primary o2c secondary crm,29.212318840579712
role category back office web transaction processing,29.19108719511196
accounting cash management reconciliation financial reporting,29.175946392276746
monthly financial information balance sheet profit,28.848835826410575
maintaining general ledger accounts payable,28.704535147392292
project cost estimate monitor actual cost,28.595238095238095
balance due bill processing receive research,28.59222325293754
research distribution center paperwork error,28.5
role category accounts role taxation direct manager,28.32280609213382
due diligence limited review ifrs corporate governance,28.08655462184874
report r2r gl general ledger,28.07675070028011
tax legal compliance executive collaborates directly,27.96719104827485
tax audit annual statutory audit,27.9250853160298
revenue accounting interline proration settlement agreement,27.791536020903322
microsoft office including strong excel skill,27.78851331734627
sr manager manager internal audit bfsi,27.690757575757576
advanced pl sql including performance tuning,27.686507936507937
timely manner monitor monthly open claim statement,27.6639883414077
country controllers feeder process business finance,27.641364808031476
strategic account planning gold sheet ensuring,27.633474383887545
ebs finance functional financial accouting,27.591001011122344
order management ms excel oracle database,27.542038517038517
senior group manager internal audit sm,27.521292766373413
qualification ca mba icwa cia cfe,27.43605532398636
preparing month end financial reports,27.40880639414512
vat service tax income tax,27.23785803237858
skills required tally quickbooks ms excel,27.115567410625548
role category financial services stock broking,27.108689527020577
queue management system qms project centrally,27.015207015207018
monthly compliance check list revenue tariff,26.981544771018452
complaints management capture tracking reporting activity,26.928008902585173
salary entry month end transfer entry,26.884290890269153
brand standard whilst meeting employee guest,26.654761904761905
strong tax technical skills including taxation,26.558718601580495
law enforcement relationship management appreciations mis,26.551143009037748
existing portfolio vi vi industry,26.544811320754718
past due bill processing receive research,26.408549783549784
designated balance sheet account reconciliation,26.385698785843452
industry bpo call centre ites,26.35433513027853
accounting standard auditing standard law applicable,26.304255319148936
outstanding communication skill written spoken presentation,26.24227145403616
fixed asset related accounting activity,26.18859875349237
corporate law fema regulation labour law,26.066666666666666
ca inter icwa inter candidate,26.042239010989007
pricing sale support inventory management distribution,26.021628045157456
strong financial analysis financial modeling skill,25.923930255988783
information tool sale track record selling technology,25.758595571095572
industry trend issue challenge key player based,25.72045648204504
