KEYWORD,SCORE
include high voltage high current distribution cabling indoor outdoor enclosure rack thermal management component magnetics fuse breaker communication data interface emi shielding,348.8474358974359
production maintenance plant quality manufacturing electric electronics mechanical process power tool die supply dispatch assembly machine welding material fabrication supervision control technical,174.08602266038434
condensate feed water main steam hot reheat cold reheat extraction steam heater drains vents,168.20833333333331
mechanical engineer mechatronics purchase engineer marketing engineer mechanical engineering research engineer purchase manager marketing manager research manager senior engineer senior mechanical,158.07382125000584
main plant equipment boiler steam turbine gas turbines feed pumps condensate pumps heaters condenser,141.8564814814815
electricals mechanical engineering erection personal skills interpersonal skills problem solvingcement erectionmechanical engineersolving engineersolving mechanicalcustomer management,138.43820526069732
industry material handling conveyors sp ms packaging machines pharmaceutical machine machine tool industrial automation,100.37157874406797
tech mechanical civil elec chemical bio tech architectural plastic oil gas automobile work closely,100.25721690590112
safety project planning project execution environment maintenance operations project costing project documentation vendor management conflict resolution manpower management,96.94434931506848
design calculations tema ansip design engineering mechanical design equipment design design development tema asme project planning,93.58420911166522
machineries equipments tools cranes tower mobile automatic concrete ready mix,90.16666666666667
mechanical data sheet material requisition technical evaluation purchase requisition vendor document review,87.27630279968213
maintenance mechanical testingmaterials engineermechanical software testing automotive electronics production engineeringmechanical engineer automobile,85.47680726780158
control description technical specifications bid evaluations vendor drawing reviews general arrangement drawings,84.65502911690993
vacuum pumps breakdown maintenance blowers pneumatics preventive crusher mechanical maintenance extruder maintenance activities,84.3477143460561
ja cstatic engineerstatic design engineerstatic mechanicalpressure vessel engineerstatic senior engineer,83.16989327780308
pension scheme ltc group linked insurance scheme children education allowances,81.85714285714286
machinery standard ansi nec cec csa eia en etsi nebs,80.88888888888889
shift fire alarm etp stp blower hvac utility maintenance dg sets,80.33639476961395
pump compressor turbine material handling equipment agitator mixer ic engine,73.95669270418195
pump compressor steam generation boiler water waste water plant,65.5138888888889
pumps compressorsmechnical maintenanceutility maintenance hvacahu cooling towers utility equipments,63.733616991836165
auto cad solid edge2d design3d mechanical engineeringcreoproetolerance analysismechanical design,58.13379415629726
industry material handling conveyors fork lift manufacturing industrial automation,56.99835937084861
